,Unnamed: 0,id_str,Screen Name,User Name,Time,Followers,num_retweets,num_likes,date,time,weekend,hashtags,num_hashtags,mentions,num_mentions,urls,num_urls,replied_id,quoted_id,tweet_text,category,quote_text,media_type,num_hashtags_trending,polarity,subjectivity,target,reply,quote,tweet_type,num_emojis,emoji_polarity,length,party_affiliation,days_since_post,time_day,day_week
0,0,1.21086734284401e+18,pvdabelgie,PVDA België,2019-12-28 10:17:26,10460,5,19,2019-12-28,morning,True,[],0,"[{'screen_name': 'peter_mertens', 'name': 'Peter Mertens', 'id': 438317752, 'id_str': '438317752', 'indices': [140, 154]}]",1,,1,,,"Nog meer rebels en sociaal zijn! Nog meer samenwerken en de PVDA-trein op koers houden! Dat is de nieuwjaarswens en het vaste voornemen van @peter_mertens voor 2020.  
https://t.co/RJAnVrL7Rf",andere,,nothing,0,0.182291666666667,0.25,medium,False,False,normal,0,0.0,191,pvdabelgie,5,10,5
1,1,1.20987062003457e+18,pvdabelgie,PVDA België,2019-12-25 16:16:48,10460,14,30,2019-12-25,midday,False,[],0,[],0,,1,,,PVDA verwerpt besparing op participatieprojecten kansengroepen  https://t.co/uom9MnccYH,sociaal,,nothing,0,0.0,0.0,good,False,False,normal,0,0.0,87,pvdabelgie,8,16,2
2,2,1.20791199436129e+18,pvdabelgie,PVDA België,2019-12-20 06:33:56,10460,13,43,2019-12-20,morning,False,[],0,[],0,,1,,,“Met PVDA in het parlement wordt verlaging toplonen politici eindelijk bespreekbaar”  https://t.co/vl9KRR0W31,politiek,,nothing,0,0.0,0.0,good,False,False,normal,0,0.0,109,pvdabelgie,13,6,4
3,3,1.20762652144533e+18,pvdabelgie,PVDA België,2019-12-19 11:39:33,10460,3,4,2019-12-19,morning,False,[],0,[],0,,1,,,PVDA vraagt moratorium op diepzeemijnbouw https://t.co/bmudJdsk8K,ecologie,,nothing,0,0.0,0.0,bad,False,False,normal,0,0.0,65,pvdabelgie,14,11,3
4,4,1.2068762660639e+18,pvdabelgie,PVDA België,2019-12-17 09:58:19,10460,21,51,2019-12-17,morning,False,[],0,[],0,,1,,,PVDA wil Vlaamse partijdotaties met 60 procent verminderen  https://t.co/MVXQB7GOcw,politiek,,nothing,0,0.0,0.0,good,False,False,normal,0,0.0,83,pvdabelgie,16,9,1
5,5,1.20653055731799e+18,pvdabelgie,PVDA België,2019-12-16 11:04:35,10460,12,36,2019-12-16,morning,False,"[{'text': 'PVDA', 'indices': [39, 44]}, {'text': 'eerlijketaxshift', 'indices': [168, 185]}]",2,[],0,,1,,,"Het linkse gemeentebestuur in Zelzate (#PVDA-sp.a) doet de grootste bedrijven en multinationals meer bijdragen, en geeft zo zuurstof aan gezinnen en lokale handelaars. #eerlijketaxshift https://t.co/Pd0UP2XL3W",economie,,photo,0,-0.083333333333333,0.25,good,False,False,normal,0,0.0,209,pvdabelgie,17,11,0
6,6,1.20651703570391e+18,pvdabelgie,PVDA België,2019-12-16 10:10:51,10460,4,24,2019-12-16,morning,False,[],0,[],0,,1,,,Besparen op Zelfmoordlijn is dodelijk | PVDA https://t.co/GOhwwWiT5r,zorg,,nothing,0,-0.6,0.6,good,False,False,normal,0,0.0,68,pvdabelgie,17,10,0
7,7,1.205150919459e+18,pvdabelgie,PVDA België,2019-12-12 15:42:24,10460,3,2,2019-12-12,midday,False,"[{'text': 'België', 'indices': [68, 75]}, {'text': 'COP25', 'indices': [79, 85]}, {'text': 'youthforclimate', 'indices': [114, 130]}, {'text': 'WWF', 'indices': [146, 150]}]",4,"[{'screen_name': 'ahermant', 'name': 'Antoine Hermant', 'id': 120526176, 'id_str': '120526176', 'indices': [0, 9]}, {'screen_name': 'ahermant', 'name': 'Antoine Hermant', 'id': 120526176, 'id_str': '120526176', 'indices': [151, 160]}]",2,,1,1.20515063800862e+18,1.20513799187173e+18,"@ahermant Presentatie van de ervaringen van de klimaatbetogingen in #België op #COP25 dankzij de aanwezigheid
van #youthforclimate (Luna Bauwens) #WWF @ahermant 
https://t.co/CqoXNUiEQF",ecologie,,photo,0,0.0,0.0,bad,True,True,quote,0,0.0,185,pvdabelgie,21,15,3
8,8,1.20515063800862e+18,pvdabelgie,PVDA België,2019-12-12 15:41:17,10460,2,2,2019-12-12,midday,False,"[{'text': 'COP25', 'indices': [222, 228]}, {'text': 'Respect', 'indices': [258, 266]}]",2,"[{'screen_name': 'ahermant', 'name': 'Antoine Hermant', 'id': 120526176, 'id_str': '120526176', 'indices': [0, 9]}]",1,,1,1.20514927852982e+18,1.20513226885292e+18,"@ahermant Palestina is president van G77+China, de groep landen die 80% van de wereldbevolking
vertegenwoordigt. ""Bij onderhandelingen moeten deze landen soms met één stem spreken tegen de macht van grote bedrijven die op #COP25 meer wegen dan de bevolking” #Respect
https://t.co/6MB6yfpB7X",politiek,,photo,0,0.3666666666666671,0.7,bad,True,True,quote,0,0.0,290,pvdabelgie,21,15,3
9,9,1.20514927852982e+18,pvdabelgie,PVDA België,2019-12-12 15:35:53,10460,1,2,2019-12-12,midday,False,"[{'text': 'COP25', 'indices': [11, 17]}, {'text': 'changethesystemnottheclimate', 'indices': [220, 249]}]",2,"[{'screen_name': 'ahermant', 'name': 'Antoine Hermant', 'id': 120526176, 'id_str': '120526176', 'indices': [0, 9]}, {'screen_name': 'ahermant', 'name': 'Antoine Hermant', 'id': 120526176, 'id_str': '120526176', 'indices': [209, 218]}]",2,,1,1.20514864827274e+18,1.20512559959085e+18,"@ahermant ""#COP25 betekent ook ontmoetingen met mensen zoals Maria, een Indonesische die
deelnam aan de klimaatbetogingen voor het klimaat in Jakarta waar onlangs 3000 jongeren door de
straten demonstreerden"" @ahermant. #changethesystemnottheclimate
https://t.co/KN8c8Y151e",ecologie,,photo,0,0.2,0.5,bad,True,True,quote,0,0.0,273,pvdabelgie,21,15,3
10,10,1.20514864827274e+18,pvdabelgie,PVDA België,2019-12-12 15:33:22,10460,3,6,2019-12-12,midday,False,"[{'text': 'parlwal', 'indices': [52, 60]}, {'text': 'COP25', 'indices': [93, 99]}]",2,"[{'screen_name': 'ahermant', 'name': 'Antoine Hermant', 'id': 120526176, 'id_str': '120526176', 'indices': [1, 10]}]",1,,1,,1.20512056952559e+18,".@ahermant, voorzitter van de commissie klimaat van #parlwal is goed aangekomen in Madrid op
#COP25. Zoals Greta Thunberg zegt: « Ja, er is hoop, maar hoop komt niet van regeringen of bedrijven.
Hoop komt van het volk ». https://t.co/hKRkIF7sEH",ecologie,,photo,0,0.55,0.9,medium,False,True,quote,0,0.0,244,pvdabelgie,21,15,3
11,11,1.20511756566157e+18,pvdabelgie,PVDA België,2019-12-12 13:29:52,10460,5,9,2019-12-12,midday,False,[],0,[],0,,1,,,PVDA vraagt betere bescherming van syndicalisten. VBO negeert de feiten https://t.co/OJ5oprmd5U,zorg,,nothing,0,0.0,0.0,medium,False,False,normal,0,0.0,95,pvdabelgie,21,13,3
12,12,1.20503303265212e+18,pvdabelgie,PVDA België,2019-12-12 07:53:58,10460,11,14,2019-12-12,morning,False,[],0,"[{'screen_name': 'Sofie_Merckx', 'name': 'Sofie Merckx', 'id': 476895973, 'id_str': '476895973', 'indices': [1, 14]}]",1,,1,,,".@Sofie_Merckx: “Voor minstens een derde van de gezinnen weegt de geneesmiddelenfactuur zwaar door in het budget. Ondertussen wordt Big Farma alleen maar rijker. Het kiwimodel brengt minstens 407 miljoen euro op, voor sociale zekerheid én de patiënt”.
https://t.co/P3KjbLhMH8",zorg,,nothing,0,0.054166666666666995,0.46666666666666706,medium,False,False,normal,0,0.0,275,pvdabelgie,21,7,3
13,13,1.20503294400127e+18,pvdabelgie,PVDA België,2019-12-12 07:53:36,10460,2,4,2019-12-12,morning,False,"[{'text': 'PVDA', 'indices': [15, 20]}]",1,[],0,,1,,,"[Nieuwe studie #PVDA] Het kiwimodel toepassen op de 25 meest kostende geneesmiddelen, brengt minstens 407 miljoen euro op voor de sociale zekerheid en de patiënt. Stop het farmabanditisme.
https://t.co/P3KjbLhMH8",pensioenen,,nothing,0,0.19166666666666698,0.3916666666666671,bad,False,False,normal,0,0.0,212,pvdabelgie,21,7,3
14,14,1.2047316189063e+18,pvdabelgie,PVDA België,2019-12-11 11:56:15,10460,4,9,2019-12-11,morning,False,"[{'text': '1500netto', 'indices': [203, 213]}, {'text': 'wewillenwinnen', 'indices': [214, 229]}]",2,[],0,,2,1.20471909672358e+18,,"Sinds mei 2019 kunnen burgers het initiatief nemen. De burgerwet voor € 1500 netto minimumpensioen is ingediend door Nadia Charradi (Mechelen), Dorian Burnotte (Charleroi), Patricia Van Walle (Brussel). #1500netto #wewillenwinnen https://t.co/bk24Lahy65 https://t.co/McuP8lorsX",pensioenen,,photo,0,0.0,0.0,medium,True,False,reply,0,0.0,277,pvdabelgie,22,11,2
15,15,1.20471909672358e+18,pvdabelgie,PVDA België,2019-12-11 11:06:29,10460,3,11,2019-12-11,morning,False,"[{'text': '1500netto', 'indices': [193, 203]}, {'text': 'wewillenwinnen', 'indices': [205, 220]}]",2,"[{'screen_name': 'RaoulHedebouw', 'name': 'Hedebouw Raoul', 'id': 42015742, 'id_str': '42015742', 'indices': [178, 192]}]",1,,0,1.20471857417202e+18,,"“Formeel waren 25.000 handtekeningen voldoende, maar het is essentieel dat we tonen dat er een veel breder draagvlak is. Enkel zo kunnen we een beter minimumpensioen afdwingen.” @RaoulHedebouw #1500netto  #wewillenwinnen",zorg,,photo,0,0.108333333333333,0.3833333333333329,medium,True,False,reply,0,0.0,220,pvdabelgie,22,11,2
